@relation 'ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt_ARFF for weer_zonderburen.txt'

@attribute tweet string
@attribute @@weather@@ {y,n}
@attribute @@sentiment@@ {g,n,b}

@data
'W88 op de leraar.. #weereenstevroegopschool',n,n
'Donker, grijs, bewolkt en heiig. Droog, windstil, balkontemperatuur 11 graden... #weerbericht #soestdijk',y,n
'Al is de reiziger nog zo snel, de NS vertraagt hem wel. Kut #NS treinen #weertelaat #vindmentorleuk #haat',n,g
'@Arjan_Klaasse ouwe twitteraar #weerdrukaantwerk http://t.co/2Wylyqao',n,g
'Het alarm in #groesbeek doet het nog. #weereenmaandveilig....',n,g
'http://t.co/zoKvyhF7 - Het betrouwbaarste #weerstation van Nederland staat gewoon in #Gendt #jekomtnogeenswattegenindegendtsepolder',n,g
'Dat is pas wisselvallig #weer @KNMI; \"Vandaag en morgen: Bewolkt en overwegend droog, morgen perioden met zon.\"  #foei http://t.co/5JwE2PaT',y,b
'@Caatje5000 4 is een suf getal #weerdis',n,n
'#weerserieuzehouding.\n#huiswerkenleren;s.x',n,g
'@timmievp ja ik merk het morgen wel.. #weeropdefoto',n,g
'En daar lig je dan weer :p #weerinhetzand xD',n,b
'Wie kan er nou van zo een loontje rondkomen #weer verder op zoek',y,g
'#en #er #zyn #weer #100 mensen #online #op #hyevs',y,g
'\"@kevannen: Moeder tript opnieuw doegxly #weer gevaarlijk hier\"// Ben je zo bang van je moeder?;p',y,g
'Nee toch ziek worden... ben erg moe en misselijk, heb gigahoofdpijn, denk dat ik van slag ben door bioritme en \'t weer #ziek #bioritme #weer',y,b
'Oh oeps!! Vanaf morgen weer ff #fulltime naar school #weereswatanders #vooreenpaarweken #was9maandengeleden #neegeenbaby #datnoemenzestage',n,b
'RT @Anoesj: #weekvanhetgeld in mijn geval #weereenweekzondergeld',n,g
'@jeroenfritz: Nu #PvdA-fractievoorzitter Joyce Langenacker. Begint met #gedicht Lucebert. \"Alles van #waarde is #weerloos\" #begroting023',n,g
'goedemorgen deze morgen #weerbegonnen',n,g
'Grijs en nevelig, maar minder donker dan gisteren. Droog en windstil, balkontemperatuur 9 graden... #weerbericht #soestdijk',y,n
'Net walker\nLog nog in bed\nHalf 10 op school Zijn #weereenslaat',n,g
'Fijn nieuw elektronisch informatie systeem bij de ns. Ja je raad het natuurlijk al. Werkt niet!!!!!!!! #weer goed bezig ns#',y,n
'Zo dansen ! #weer lekker positief!',y,g
'Zeau deel van de strijk is gedaan,poezen hebben eten,eten staat al effe op,koffie gezet en gekletst met man :) #weerbeetjehappy',n,b
'mijn externe schijf doet het weer #few #weermuziek',n,b
'@xxrengimavci jeehhhh \'hihi dankje lief #weerwatvoedselmmmmmm',n,g
'#weer #rtlnieuws',y,g
'Nachtvorst?! Meneer de #weerman wat zegt u nu?!',n,b
'Tsunami Britt springt het water in #weeralarm #newchicks',n,g
'\'t is slecht weer veur nejsgierige leu.... #mist #weer',y,b
'Brrr, koud zeg! #weer',y,g
'Zonsopkomst met roze wolkjes. Windstil, droog en fris, balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'Ik heb weer een rijbewijs. Nogmaals dank aan de dief #weertachtigeurieslichter (@ Wijkservicecentrum Vleuten-De Meern) http://t.co/VLL4zsvo',n,b
'Recordwarmte in november ! Eerste 10 dagen gemiddeld 12,5 graden. Ja, we krijgen een hele strenge #winter...;o) #weerbericht #weerkolder',y,g
'Dj antoine \'too much money on the bankaccount\' #weer-zo\'n-zin-die-ik-nooit-zal-zeggen',n,g
'Deron Williams vanavond in NL?? Whhuttt. Had dat gezegd mensen! Had ik allang een kaarte gekocht #weerwatgemist',n,g
'@LiveinAntwerp Het kan omslaan. Maar alle voorspellingen berusten op drijfzand...;o) #weerbericht #strengewinter',n,n
'Wat is er toch ineens met dat weer aan de hand?? Het lijkt wel november!! #weertweet',n,g
'Lekker geslapen in de les #weerfit',n,g
'*schenkt zichzelf een kopje kruidenthee in* #weerstandmelange',n,g
'Na Griekenland en Italië deze week ook RIM onderuit? #weerstoring',n,n
'hahaha @wiestaateronder heeft me gevafourite #weereenorgasme haha',n,g
'Thuis. Tv kijken en slapen #weerkutdag',n,g
'Nevelig, maar daarboven een heldere hemel. Bladstil en koud, balkontemperatuur 4 graden... #weerbericht #soestdijk',y,n
'Ik was bijna officieel vernoemd naar de reclame-jingle van een WC-papiermerk. #popla #weerwatgeleerd',n,g
'Net een heerlijke (frisse) wandeling gehad in de #weerribben.....',n,g
'@Anneliesverbeek @paulbiesenbeek #weertweet',n,g
'RT @cryfke: \"Domoren en dromer\", wederom n gedicht #hansvanhagen, nu voorgelezen door #wethouder vd Hoek #weerschorsing\".#begroting023',n,n
'Het winterkamperen is ook mogelijk op De Eikenhof.\n€ 7,50 incl 2 pers. Electra. #camperplaatsen #weerribben #mooienatuur #verwarmdsanitair',n,n
'@petrajumelet tot dadelijk op het #msevent11 in de #jaarbeurs te Utrecht #weerzinin',n,g
'Grijze ochtend, klein beetje heiig. Fris briesje uit O. Balkontemperatuur 9 graden... #weerbericht #soestdijk',y,g
'Discussie over intrekken subsidies rietsnijders NP #WeerribbenWieden door staatssecr #Bleker, zie de commentaren op http://t.co/pk3vHaRT',n,n
'Ik zou bijtijds opstaan xd #mislukt #weerinslaapgevallen',n,g
'Geen idee van wie, wel een vermoden, maar bedankt! #schaatsen #weerterug  http://t.co/w2OobWRl',n,n
'Geen idee van wie, wel een vermoeden, bedankt! #weerterug  http://t.co/Awmna8zA',n,n
'Winterbanden worden eronder gezet. #weermaximalegrip',n,g
'Doktertje gehad #vielmee:) #weeropschool',n,g
'bijspijker uur #weerietsnieuws',n,g
'@Roodshow Jullie zouden, in plaats van (of naast) de troostprijs voor de minste goeden, ook iets moeten doen met 1 of 2 \"over\" ! #weergelukt',n,b
'Lekker gewandeld langs het strand, nu tijd voor een glas wijn of zo, #weerzienmetstudievriendinnen (@ Blu Beach) http://t.co/Bdw9m3Jb',n,b
'De zon is achter de horizon verdwenen en eindelijk zien we hier de blauwe lucht... #wolken #mist #weerbericht #soestdijk',n,n
'Vet zin in wintersport!! #weersnowboarden',n,g
'En natuurlijk staat ie weer open... #fail #weerpech (@ Brug Sluiskil) http://t.co/AuL4fjmJ',n,b
'Bijna thuis! #weereenlangedag (@ The Hague) http://t.co/FrThKb8O',n,b
'De omroepster in de Sprinter vindt dat het pas na 18:00 avond is. #weerwatgeleerd',n,g
'11/11 Volle maan en St Maarten, goede combi #weerwolven en kinderen en hebben beide lekkere trek',n,b
'Het zijn de kleine dingen die het doen. #WeerWatGeleerdVandaag',n,g
'Kwart voor elf uit a\'dam vertrekken is te laat om zonder gedoe mijn arnhemse suburb te bereiken. #weerwatgeleerd #stukjelopen',n,b
'\"@xo_fiona: @Mr_Nathann haha so lonerXD #weer es chillen chat??&lt;3\" &lt;&gt; ja is goed. Dinsdag ofzow ¿ xx',y,g
'De zon is stralend opgekomen, heldere hemel, geen wolkje te zien. Zwak briesje uit ZO, balkontemperatuur 5 graden... #weerbericht #soestdijk',y,n
'En onderweg naar #survivalVollenhove Through the Wetlands #weerribben',n,g
'Trg van werken zomeeteen #weerwerken',n,g
'Ik speel dat spel ook niet meer #wordfeud #weerverloren',n,g
'mooi nog wat kilometertjes gemaakt op de #chopper in de gang naar de #winterstalling ... #weertje',n,g
'@LotteKaimer #weereenkatminderopdebuurt !!!',n,g
'@boerenfluitjes: \" @koeienboerjames  aha, dat dus.:-)) #VTF =veeteeltforum\" #weerwatgeleerdvandaag ;-))',n,g
'Nevelige zonsopkomst met roze vliegtuigstrepen. Windstil en koud. Balkontemperatuur 3 graden... #weerbericht soestdijk',y,n
'Mijn zondagse klusje zit er weer op.. Sam z\'n DS doet het weer 100\%.. De A-knop was overleden.. #goedbezig #weeriemandblij #biertjeverdiend',n,g
'Zo nu ben ik echt wakker! Long ride spinning: 90 min klimmen met Guus #pufpuf #zwarebenen #weerverslaafd #dinsdagweer #heerlijk #fb',n,g
'Vanaf #dinsdag te huur #Hanna #avontuur #thriller met Cate Blanchett,\nSaoirse Ronan en Eric Bana. Echt #weer vanmiddag voor een #filmpje!',y,b
'Heerlijk #weer op #terschelling. Heel veel mensen genieten vn t #buiten zijn http://t.co/8GJnvpNd',y,g
'@baroldbosman haha, zal wel meevallen toch, anders kun je ezeltjes gaan kijken ;) #weerwatanders',n,g
'Vandaag lekker muziek gedownload van oa •lifehouse •birdy •gotye •gers pardoel •the lonely island &lt;3 #weerwatnieuws',n,g
'Morgen mag ie weer zielig wezen in ze eigen huis!kom ik teminste aan me n8rust!!!#weer welkom als ze nekpijn over is #wegblijven mag ook!',y,b
'oh kut nog steeds niet getandepoetst, nog maar eventjes doen dan. #weernabovenlopen',n,b
'De zon schijnt door de ochtendnevel, weinig wind en koud, balkontemperatuur 2 graden... #weerbericht #soestdijk',y,n
'Richting de hz voor een toetsje #wordniks #weeralniet',n,b
'Het is erg koud #weer',y,g
'Kut meneer de maag #weer een briefje',y,g
'Na de vakantie begonnen met brainstorm over #leansixsigma en een lunch bij #cafedepont. Kan slechter! #nstrainee #weerbegonnen',n,b
'College in het umcg #weereenswatanders',n,g
'henk doet echt grappiigg! #weereventjeesgrappigheid',n,g
'En weer op naar huis! #tilburg&gt;#einhoven&gt;#weert&gt;#ospel. Heel boeiend i know ^^',n,b
'@ReneHengeveld Congee is de Engelse benaming voor rijstepap #weerwatgeleerd',n,b
'Woow.. meer dan 400 euries verdient afgelopen maand :) #weerblij',n,g
'Nog ff na #weert',n,n
'Deel so close to you van calvin harris op de radio. Lekker! #weerenergie',n,g
'ik ga eerst ff douche. #weerafgeleid',n,n
'@stefanpostema Uitsneeuwende mist, waarom ook niet? :-) #weerbericht #Leeuwarden',n,n
'Ik ben inmiddels bij #RTVRijnmond en ga samen met Arjen en Jelske het #weer opnemen voor #TVrijnmond. #koud',y,b
'Trainen trainen trainen #weerweg',n,g
'Winterdip, nu al? Na een week eindelijk geen migraine meer en ach dan zijn we nu weer snot - en snotverkouden! #weerstand',n,n
'Wat een achterlijke rot dag! Altijd leuk bussen die gewoon niet komen opdagen... #weerthuis',n,b
'#Levine #weerbarekind Als we kwetsbaar zijn hebben we meeste baat bij contact met rustig iemand in contact met eigen lijf en zelfvertrouwen',n,b
'Slapen #weertelaat',n,b
'Dat is bijna 15 jaar geleden #weerzien (@ Den Bogaard w/ 3 others) http://t.co/qDgJpUNR',n,n
'vraagt zich af welke olifant de OCMW-toiletten gebruikt heeft #weeralverstopt',n,n
'Een D\'66 #raadslid uit het schone plaatsje #Weert volgt mij. Mooi dat soort #horizonverbreding.',n,b
'Vandaag de hele dag op het hoofdkantoor van de ANWB geweest, nu lekker filmpje kijken #weerveelgeleerd!',n,g
'Morgen maximaal 7 graden en minimaal 0 #weerbericht',y,n
'Zoals het water het gezicht weerspiegeld, zo weerspiegeld het hart van de mens de mens #weerspiegeling',n,g
'Slapennn #weertelaat #fackee',n,g
'@ReintJanPotze bij mij begint ie altijd met #koffie.... En de laatste dagen daarna pas #mist #weerfileswaarschijnlijk',n,b
'Ben je halverwege kom je erachter dat telefoon thuis ligt.. #fail #uturn #weeropweg',n,g
'Mist ! En koud. Windstil, balkontemperatuur 1 graad boven nul... #weerbericht #soestdijk',n,n
'@meteoconsult #weer hier is het potdicht van de mist #N207 http://t.co/MAjf4oVc',y,n
'#Koud: Meetstation #Hoogeveen\t13:30 #temperatuur: -0.2 #Wind: 2.1 #Gevoelstemperatuur: -2.8 #herf #herfer #herfst #weer #brrr #koud',y,g
'Lekker #weer #beetje mistig maar voor de rest!',y,b
'Thuis #weergebroken',n,g
'En op de binnenvaart blijven ze gewoon lekker bij bouwen #nieuwbouw #weer een paar duizend ton erbij #vooruitgang http://t.co/QPlpR0Oe',y,g
'expeditie robinson #weerbezig',n,g
'@Eemschuumers @ZetorRules @StadAmersfoort Daar kan een hoop geld bij. Terwijl de meeste evenementen extra moeten betalen dit jaar #weergek',n,g
'Minder mist en minder kou dan gisteren. Bewolkt met wat blauw, windstil, balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'Wat een kleine wereld buiten mooi #weer om een #bloemetje in huis te halen kom eens kijken we hebben \nPrachtige #herfstboeketten',y,b
'In de trein naar Adam voor de oratie van Lieuwe de Haan, hoogleraar psychotische stoornissen #weereenswatanders',n,b
'@Perry_1994 @thijske1996 dat noem je realistisch #weerwatgeleerd',n,g
'“@x_kimberlyy_x: @Noud13 welke stukje daan ? :o�? uuh jaah xD   Na dat taktakatakta eerste keer #weerniethoejeuitlegt',n,g
'Bewolkt, een beetje heiig, weinig wind. Balkon temperatuur 4 graden... #weerbericht #soestdijk',y,n
'Na drie dagen vliegen nu de nacht doorgebracht in het ziekenhuis. Jongste heeft #weer #rsvirus. #moe',y,b
'@NS_Machinist #weerstatus Wv zonnig:D',n,g
'vnmiddag ma wat nieuwe broeken halen denk #weerduurweekend',n,g
'#terschelling #weekendgasten boffen enorm! t is schitterend #weer http://t.co/aQk2UvUu',y,n
'Straks naar de bios met de kids #weervolven en #vampieren #twilight #breakingdawn',n,b
'Flinke #storm (WNW) op vrijdagochtend, zit nu al een tijdje in de voorspelling (GFS) http://t.co/vQfoNntY #weerbericht @StefanRvC',n,n
'@GuusBeugelink .die #kapper is goed! maar t #weer heeft mn #watergolf verwoest . Mis   t',y,g
'I feel like dying; sore throat, massive sneezing and tired as hell... Of misschien verkouden, morgen ff gezond fruit eten #weerstand',n,g
'waarom ben ik zo vroeg al wakker #weerslapen',n,n
'Dichte mist op Soestdijk. Windstil, balkontemperatuur 2 graden... #weerbericht #soestdijk',y,n
'Sinterklaas, ik ben toch lief geweest?? #weerniksinmnschoen',n,b
'#Mist? Waar? #brightsiteoflife #zlimburg #Maastricht #weertweet  http://t.co/N3oyL6aY',n,g
'@WWWwesleyklein ik niet maar veel plezier!! #hopen dat je #weer op de #huishoudbeurs bent in #februari!',y,g
'#weerslapen #twexit',n,g
'#mariostuc vanmorgen tv en gordijnen mee opgehangen. #weernetjes. Nu bij Mario en Roos commode schuren. #gezellig',n,g
'\'s Middags opklaringen ? Hier is het nog steeds heel erg mistig... #mist #weerbericht #soestdijk http://t.co/2Hw81QFu',n,n
'4-3 gewonnen van achilles reek.. maar 10 minuutjes gespeeld maja #weer3punten',n,g
'#Willemijn jij mag foutjes maken hoor #weerbericht',n,g
'#weerallert: de #mist rondom #Ajax zal voorlopig nog niet zijn opgetrokken.',n,b
'Zo.. Vanaf nu ben ik een heel jaar lang 31 jaar! #weereenjaartjeouder #hoppa dan nu even fijn op 1 oor en kijken we morgen wel eens verder!',n,b
'Omdat ik m\'n fietssleutels niet meehad. #weerwachtenopdelift #geenzinin (@ Bus 94 naar Amsterdam Cs) http://t.co/uKhfUwBD',n,b
'Onverminderd mistig, windstil een koud. Zicht 100 meter, balkontemperatuur 2 graden... #weerbericht #soestdijk',y,n
'250 minuten/sms 5,99 Per maand opzegbaar http://t.co/IgWV1KIN #simonly #simyonl #weer #maandag #Simyo',y,g
'Yes de taxi is gekomen onze loge is weer naar huis #weer rust in huize schuur lkkr',y,b
'Vrouw lief ophalen wat een mist. Lekker rustig #motor #weer (@ Hendrik Kraemerpark w/ @dierkruiden) http://t.co/PivA8Bkw',y,b
'#SamsungMobileNL op zoek naar een Simonly voor je Samsung Smartphone\n250 min/sms 5,99 http://t.co/IgWV1KIN #simonly #simyo #weer',y,b
'#weeronline met een Simyo Sim Only abonnement 500 min/sms/1000 MB 24,94 http://t.co/IgWV1KIN #simonly #simyonl',n,g
'Wanneer werken garagebedrijven eens klantvriendelijk. Auto zou in de loop van middag gereed zijn, das niet 17.30u toch? #weeronnodigwachten',n,g
'@_JILLZ_ was net nog in de appie #weergemist',n,g
'Spooktrein, licht valt ineens uit. #weereenswatanders',n,g
'@jaapdenouden Maar morgen ga ik toch echt even naar buiten, #weer of geen weer. Dus je bent gewaarschuwd...;o) #scootmobiel',y,b
'Simyo actie 250 minuten/sms 5,99 Per maand opzegbaar http://t.co/IgWV1KIN #simonly #simyonl #rtlnieuwsnl #telegraaf #weer #editienl',y,g
'Pfffff word je toch sago van!#weer',y,g
'What the fog? #Weer',n,g
'Klote mist #weer',y,g
'Ik verheug me nu al op de #weerman ! #neonletters',n,n
'best wel last van me schouder #weer #doordaan',y,g
'kuuut, lig ik net lekker in m\'n bedje, moet ik me lenzen nog uit doen...#weernaarbeneden',n,b
'RT: #gorillaindemist @edaldus Schitterende #weerfoto #Rotterdam in mist, vanaf 30ste etage van woontoren #NewOrleans http://t.co/7PHoXXbT�?�?',n,g
'Net Heel Moe. Ga Ik Naar Bed #WeerHelemaalWkker -_-\'',n,g
'Goeiesmorgens! #weerVroeg',n,g
'Vandaag #weer 2 pw',y,g
'Ok peeps, hou eens op ziek te worden! Gewoon weigeren ok! #weerstand',n,g
'Nog steeds behoorlijk mistig ! Windstil en koud. Balkontemperatuur 1 graad... #weerbericht #Soestdijk',n,n
'Volgens de #zichtkaart zouden we hier 4 km zicht hebben. Als het 150 meter is is het veel ! #onbetrouwbaar http://t.co/zZtdCcvy #weerbericht',n,b
'We zien de zon !!! #weerbericht #soestdijk #mist #zon http://t.co/6krl7u06',n,n
'“@carmenaltena: #Weerstand is de noodzakelijke stap voor de #transformatie en daarmee een mooi fenomeen!�? helemaal mee eens',n,b
'Nederland is weer een stukje veiliger geworden. Ik ben geslaagd voor vca.#weereendiplomaaandemuur',n,b
'Gezellig met @MayMeursing gebelt, nu lekker thuis. #weereendag',n,b
'“@rob_min: Waar is de mist gebleven? #dtv #weer�? http://t.co/DhYT06cH',n,b
'Vanavond \"thuiswerken\" in Utrecht. #weereenswatanders',n,g
'Zo te zien hebben ze, aan het eind van de straat, de mistmachine weer aangezet... #mist #daarkomtieweer #weerbericht #soestdijk',n,g
'#weerterug ;p',n,n
'De 2 beste openingszinnen zijn: 1. \'Ik vind je jasje geweldig!\' En als je aan de bar staat &gt; 2. \'Negeert de barman jou ook?\' #weerwatgeleerd',n,b
#weertienminutenvoorbij0.o,n,g
'Goedensnavonds ! Weer heerlijk gewerkt! Morgen vroeg op en weer een mooi week-end vieren! #weermooiekansengezien!',n,b
'Voice afgelopen maar gaan slapen morgen 7 uur op voor wedstrijd:( #weernietuitslapen:(',n,b
'Zijn het de kids niet, is het die hond wel....... #grrrr #weernaarbuiten #koud #endanookjevrouwverkouden #snurken #windtunnel #melig',n,g
'Nu slapen! Morgen wedstrijdje voetballen tegen s\'graveland #Weeriswinnen?',n,g
'Storm en regen. Het wil nog niet erg licht worden. Stevige bries uit ZW, balkontemperatuur 8 graden... #weerbericht #soestdijk',y,n
'simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #Uden',n,g
'simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #sim',n,g
'wat en k\%#$\% #weer en dat op een zaterdag. Helaas het is niet anders.',y,b
'En ook met dit #weer: #DIM',y,g
'Met dit mooie #weer nog even naar de stad voor de laatste #sintcadeaus, hopelijk #waaien we niet weg :)',y,b
'Het #weer is niet tof vandaag!',y,g
'Sinterklaasgedicht is af, dit jaar met een vernieuwd rijmschema. #weereenswatanders',n,g
'Shoppen in Zoetermeer, Twinlife shirts, nieuwe schoenen, nieuwe blouse #weerinhetnieuw (@ Zoetermeer) http://t.co/PmaWRwCR',n,g
'Eindelijk weer een #Hollands #weertje: binnen blijven, administratie, studie, krantje, en wat-er-nog-meer-kan-op-een-druilerige-zaterdag!',n,b
'#regen simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline',n,b
'#regen simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline',n,b
'@backpakkietim thnx man C U tonight #weergeengoalaanmeopgedragen',n,g
'simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #sim',n,g
'@skirroowkeej mooiso #weerEvenGoeieVrienden haha :d',n,g
'@xlvdk ghehe ja ik weet #weerfaal ;p (\'ll)',n,g
'En toen was ik juist dat ene cadeautje dat ze zooo graag wil, helemaal kwijt #weeropgespoord',n,g
'simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #Uden',n,g
'simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #Heerlen #actie',n,g
'Erg licht wil het nog niet worden. Bewolkt, droog en weinig wind. Balkontemperatuur 9 graden... #weerbericht #soestdijk',y,g
'Toch niet voetballen vandaag helaas #Weerisprimatoch bedankt apeldoornse boys',n,g
'Bezig met research voor Twitter-boek: het zijn bijna alleen mannen die over Eva Jinek twitteren. #jinek #weerwatgeleerd #trivia',n,g
'simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #Uden',n,g
'simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #openzondag',n,g
'simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws',n,g
'Er vallen momenteel stevige buien in de regio geldermalsen #weer #onweer #regen http://t.co/fGYq2ZVQ',y,g
'ik dacht dat het heel slecht zou zijn vandaag #weer',y,g
'Brrr, tot op het bot verkleumd. Met 2 man meer nipt gewonnen met 1-2 #weerthuis',n,n
'#weer nieuwe background -&gt;Hyves..  #TeamRodeDichters! http://t.co/qMZqPbms',y,g
'Dat zijn Bas en Damy niet. #weereenswatanders - http://t.co/KWMep2Aj',n,g
'YESSSSSSSSSSSSSSSSSSSSS, telefoon terug #weerbereikbaar',n,g
'Jahoor m\'n nagellak is weer vernagelt #weeropnieuw',n,b
'Slape mazzol #doeiweekendhallomaandag #weerbijnaweekedzinin',n,g
'Net flinke bui gehad met natte sneeuw a2 was zo wit #weer #sneeuw #nieuws',y,g
'Hagel! #weertweet #A10',n,g
'Zonsopkomst achter dikke wolken en regensluiers. Zwakke bries uit W, regenbuien, balkontemperatuur 7 graden... #weerbericht #soestdijk',y,n
'simonly zonder vast contract 250 min/sms 6,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #Uden',n,g
'simonly zonder vast contract 500 min/sms 15,99 http://t.co/IgWV1KIN #simonly #simyonl #sim only #telegraaf #nunl #weeronline #rtlnieuws #sim',n,g
'@Vinnie41 ach kou en een bui vang je op met een paraplu en een dikke trui #weerziet',n,g
'Gewoon een lekker dagje door werken! #weereenswatanders',n,g
'zo blij met bio && ak cijfer &lt;3__&lt;3 ak = 5,8 unddd bio=7,8 :D #weervoldoendeopbio',n,g
'kut #weer',y,g
'Wat een Kut #weer',y,b
'De #kerst is nog ver weg inderdaad maar kan @edaldus al iets zeggen over het #weer tijdens de #Bruggenloop van aanstaande zondag? #RNU',y,n
'Als we een worm hebben gegooid mogen we een kadootje pakken. #weereenswatanders',n,b
'Wie of wat is standaard en Poors nu weer #weereenmening en onrust',n,n
'@Svengruter @MarcelDKuiper beetje jammer dat ik nu al weer gedumpt ben! #latomhoog #WeerAlleenReizen @ingeborggruter',n,b
'@dutchanddonts ik heb een bewonersavond :(( #weergeenborrel',n,g
'eten #weerlaat',n,b
'haha cake verkocht voor maatschappelijke stage #weerviereuroerbij',n,b
'Nationaal ICT Gala. #weereenswatanders (@ Theater Orpheus w/ 11 others) http://t.co/toZZxkJR',n,g
'Tijd gaat snel #weerteruginnederland #brrrrkoudhier',n,g
'Waar gaat de #Brandweer in #Beesd nou nog naar toe?...zo laat...#weerbrand',n,g
'Waait hard buiten. #weer',y,g
'Goedemorgen #weernaarschool',n,g
'Op naar de belskes! #weertje http://t.co/Xg14YdqF',n,b
'Zo, ik ben blij dat ik in de bus zit in plaats van op de fiets. Wat een takke #weer , grote plassen en beken op de wegen in #Arnhem #026',y,g
'Wauw het regent zwaar hard #weer',y,n
'Dynamisch weer: later vandaag forse windstoten mogelijk (estofex lvl 1) en vrijdag mogelijk #storm, nog steeds erg onzeker #weerbericht',n,b
'#mijnhondwilnieteensnaarbuitenweer #weer #weer (@ Berg Home w/ @maaikeberg) [pic]: http://t.co/nsPCLrRB',y,g
'Donker en regen, maar de wind is afgezwakt tot een matig briesje uit ZW. Balkontemperatuur 5 graden... #weerbericht #soestdijk',y,n
'Niks is er zó lekker om met dit #weer lekker in bed te blijven! Met een kop #koffie uiteraard! #fb',y,g
'#goedemorgen  weer ontwaakt. Wat een #weer zeg! #regen',y,b
'Het #weerbericht; Regen, wind hagel, windstoten, ZON, onweer.... Het lijkt wel #Nederland!!',n,g
'Regen, donker weer en fietsers die geen licht aan hebben! Wat een foute combinatie! #weer #verkeer',y,b
'“@PascalHoman: de rvc van ajax weet ook maar niet van ophouden volgens mij #weer in beroep tegen uitspraak rechter:S�? kuthomos dat',y,b
'oke je kan pennen dus niet in vuur doen.. #weerwatgeleerd',n,g
#weerleren,n,n
'@jurjenbousma Ja, over vandaag waren ze het wel eens. Vrijdag is een ander verhaal, ze zeggen allemaal wat anders. #weerman',n,g
'@tontenhove Hoorde gister op TV dat, wanneer de storm zuidelijk langstrok, de kans op sneeuw groot zou worden? #knmi #weeroverijssel',n,n
'goedemorgen allemaal,zo geen zin om de deur uit te gaan vandaag.#weeromthuisteblijven',n,g
'Oud&nieuw ga ik vieren in Ermelo! #weereenswatanders #gewoonomdathetkan Betalen ze daar ook belasting? Hebben ze daar ook stoplichten? :p',n,g
'Bewolkt, donker en regen. Matige bries uit ZW. Balkontemperatuur 6 graden. Lekker binnen blijven, vandaag... #weerbericht #soestdijk',y,n
'Damn die Hoge School Rotterdam is net een ziekenhuis #elkeweekweerdocentenziek #weereendagvrij',n,g
'@cluitham Nee, Cor, het is zo al nat genoeg...;o) #weer #huilen',y,n
'Na 2 weken Mexico weer back in business en de mail doorploegen #weeraanhetwerk',n,b
'@Failra @ns_online Zelfs de #fyra lijkt de nieuwe dienstregeling van #ns niks te vinden. Nog een vertraging. #fail\n#elkedag #weertelaat',n,g
'de kerstpakketten aangeschaft #weerdemakroditjaar',n,g
'YESS nog een 10 euro erbij!!! YES YES!!!! #weernot',n,g
'Morgen denk ik met de trein naar school:s #weer',y,b
'We gaan boernkool eetn #weervoor (@ Gemaal) http://t.co/Wt4P5bet',n,g
'Burgemeester @Josheijmans #weert zet in op #Brainport2020 Kansen voor de regio verzilveren!  http://t.co/OhcnQWm1 http://t.co/5QP8gVMp',n,b
'GS is fakking veel en moelijk dus nu maar weer egt heel hard leren #weervanmiddagookalgedaan',n,n
'#weer wat slimmer geworden  over twitter.',y,g
'Hallo mensen (: #weerthuis!',n,g
'Morgen wordt het misschien wel een witte kerst bij het GoedGestemd-de-kerst-in feest! #weersverwachting',n,g
'De wind zit in het Oosten. Bewolkt, donker, koud en regen. Balkontemperatuur 3 graden... #weerbericht #soestdijk',y,n
'Luistert het foute uur op #qmusic schoont de mailbox op van #personal touch #travel en vind leuke #zon aanbiedingen! Heerlijk met dit #weer',y,b
'Ik heb het nu alweer gezien met dit #weer! #nederland',y,b
'Wat een #weer.. bah.. gelukkig vanmiddag werken dus weinig last van de regen en storm',y,g
'forza barca #weereenrondeverder',n,g
'Wat voor #weer hebben we zondag? Joop en ik zouden op de #BMW en #Honda naar Den Bosch. Maar niet met het weer als vandaag!',y,b
